, --,Nombre común,Clase,Otros_nombres,Nombre_cientifico,Familia,Fuente,,Estatus,,Codigo_Estatus,Origen,En Zarauz,
,100,Cerezo,Árbol,Cerezo criollo,Prunus serotina,Rosaceae,Referencia,https://colombia.inaturalist.org/taxa/54834-Prunus-serotina,,,Nativa,México a Argentina,,
,101,Cerraja,Hierba,,Sonchus oleraceus,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/53294-Sonchus-oleraceus,,,Adventicia,"Asia, Europa y N África",,
,102,Cestro,Arbusto,Aretillo,Cestrum elegans,Solanaceae,Referencia,https://es.wikipedia.org/wiki/Cestrum_fasciculatum,,,Cultivada,México,,
,103,Charne,Arbusto,Sietecueos angelito,Bucquetia glutinosa,Melastomataceae,Referencia,https://colombia.inaturalist.org/taxa/464618-Bucquetia-glutinosa,,,Endémica,Colombia,,
,104,Cheflera variegada,Arbusto,,Schefflera arboricola,Araliaceae,Referencia,https://sembramos.com.co/planta-chiflera.html,,,Cultivada,China,,C3
,105,Chicalá,Árbol,"Chirlobirlo
Fresno",Tecoma stans,Bignoniaceae,Referencia,https://colombia.inaturalist.org/taxa/48363-Tecoma-stans,,,Nativa,E.U. a Argentina,,
,106,Chicalá rosado,Árbol,,Delostoma integrifolium,Bignoniaceae,Referencia,https://explora.uexternado.edu.co/especies/chicala-rosado/,,,Nativa,Venezuela a Perú,,
,107,Chilca,Arbusto,Chilco,Baccharis salicifolia,Asteraceae,Referencia,https://es.wikipedia.org/wiki/Baccharis_salicifolia,,,Nativa,SO E.U. a N Suramérica,,
,108,Chocho de árbol,Árbol,,Erythrina rubrinervia,Fabaceae,Referencia,https://jardinbotanicodelquindio.viveshops.co/es/productos/chocho-erythrina-rubrinervia,,,Nativa,México a Bolivia,,
,109,Chuque,Arbusto,"Viburnum
Chucua",Viburnum triphyllum,Adoxaceae,Referencia,https://colombia.inaturalist.org/taxa/547408-Viburnum-triphyllum,,,Nativa,Venezuela a Bolivia,,
,110,Chusque,"Arbusto, trepadora",Carrizo,Chusquea scandens,Poaceae,Referencia,https://colombia.inaturalist.org/taxa/545653-Chusquea-scandens,,,Nativa,Andes,,
,111,Cidrón,"Hierba, aromática",Cedrón,Aloysia citrodora Palau,Verbenaceae,Referencia,https://identify.plantnet.org/es/antilles/species/Aloysia%20citrodora%20Pal%C3%A1u/data,,,Cultivada,América,,
,112,Cilantro,Aromática,,Coriandrum sativum,Apiaceae,Referencia,https://colombia.inaturalist.org/taxa/67759-Coriandrum-sativum,,,Cultivada,"Europa, África",,
,113,Cinta,Hierba,Mala madre,Chlorophytum comosum,Agavaceae,Referencia,https://colombia.inaturalist.org/taxa/322492-Chlorophytum-comosum,,,Cultivada,África,,
,114,Ciro,Arbusto,Camiseto,Baccharis cundinamarcensis,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/546773-Baccharis-macrantha,,,Nativa,N Andes,,
,115,Ciruelo,Árbol,,Prunus americana,Rosaceae,Referencia,https://colombia.inaturalist.org/taxa/48629-Prunus-americana,,,Cultivada,Norteamérica,,"C2
L"
,116,Clivia,Hierba,Lirio de monte,Clivia miniata,Amaryllidaceae,Referencia,https://colombia.inaturalist.org/taxa/598250-Clivia-miniata-miniata,,,Cultivada,Suráfrica,,N1
,117,Conisa,Hierba,"Caña carricillo
Equisetum",Equisetum giganteum,Equisetaceae,Referencia,https://colombia.inaturalist.org/taxa/332476-Equisetum-giganteum,,,Nativa,Neotrópico,,
,118,Conisa,Hierba,,Conyza sumatrensis,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/370091-Conyza-sumatrensis,,,Adventicia,Subcosmopolita,,
,119,Copa de champán,"Hierba, trepadora",Jazmín de Chile,Mandevilla sanderi,Apocynaceae,Referencia,https://colombia.inaturalist.org/taxa/403721-Mandevilla-laxa,,,Cultivada,Ecuador a Chile,,
,120,Cordoncillo,Árbol,Bordoncillo,Piper bogotense,Piperaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=Piper+bogotense,,,Nativa,Panamá a Venezuela,,N1
,121,Corono,Árbol,Espino,Xylosma spiculifera,Salicaceae,Referencia,https://colombia.inaturalist.org/taxa/533962-Xylosma-spiculifera,,,Nativa,Colombia y Venezuela,,C5
,122,Correhuela mayor,"Hierba, trepadora, liana",Campanilla de enredadera,Calystegia sepium,Convolvulaceae,Referencia,https://colombia.inaturalist.org/taxa/57481-Calystegia-sepium,,,Cultivada,Hemisferio norte,,
,123,Corteza de cortina,Hongo,,?,?,Referencia,https://picturemushroom.com/es/wiki/Stereaceae.html,,,Identificación dudoa,,,
,124,Crisantemo,Hierba,,Chrysanthemum morifolium,Asteraceae,Referencia,https://es.wikipedia.org/wiki/Chrysanthemum,,,Cultivada,Norteamérica a Bolivia,,
,125,Cosmos,Hierba,,Cosmos bipinnatus,Asteraceae,Referencia,,,,Cultivada,,,
,126,Crocosmia,Hierba,,Crocosmia aurea,Iridaceae,Referencia,https://ecuador.inaturalist.org/taxa/361354-Crocosmia-aurea,,,Naturalizada,Neotrópico,,
,127,Croto,Arbusto,,Codiaeum Variegatum Pictum,Euphorbiaceae,Referencia,https://panama.inaturalist.org/taxa/127387-Codiaeum-variegatum,,,Cultivada,Malasia,,
,128,Cucharo,Árbol,Espadero,Myrsine coriacea ,Primulaceae,Referencia,https://colombia.inaturalist.org/taxa/133667-Myrsine-coriacea/browse_photos,,,Nativa,México a Paraguay,,
,129,Cucharo blanco,Árbol,,Myrsine guianensis,Primulaceae,Referencia,https://colombia.inaturalist.org/taxa/291911-Myrsine-guianensis,,,Nativa,Estados Unidos a Argentina,,
,130,Culantrillo,Hierba,,Adiantum raddianum,Pteridaceae,Referencia,https://colombia.inaturalist.org/taxa/158023-Adiantum-raddianum,,,Nativa,Neotrópico,,
,131,Curry,Hierba,Siempreviva de monte,Helichrysum luteoalbum ,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/209711-Helichrysum-luteoalbum,,,Cultivada,Cosmopolita,,
,132,Curubo,Hierba,,Passiflora mixta,Passifloraceae,Referencia,https://colombia.inaturalist.org/taxa/51449-Passiflora-mixta,,,Nativa,Colombia y Venezuela,,
,133,Cymbidium,Hierba,,Cymbidium cinense,Orchidaceae,Referencia,https://colombia.inaturalist.org/taxa/493639-Cymbidium-sinense,,,Cultivada,"China, Vietnam",,
,134,Dalia  ,Hierba,Flor de garza,Dahlia pinnata,Asteraceae,Referencia,https://es.wikipedia.org/wiki/Dahlia,,,Nativa,México a Bolvia,,
,135,Dalia imperial,Arbusto,,Dhalia imperialis,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/288936-Dahlia-imperialis,,,Nativa,México a Bolvia,,
,136,Dedos de Dios,Suculenta,,Sedum pachyphyllum,Crassulaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Sedum%20pachyphyllum%20Rose/data,,,Nativa,México ,,
,137,Dicranoweisia,Musgo,,Dicranoweisia cirrata,Rhabdoweisiaceae,Referencia,https://colombia.inaturalist.org/taxa/67949-Dicranoweisia-cirrata,,,Cultivada,Indeterminado,,L
,138,Diente de León,Hierba,,Taraxacum officinale,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/47602-Taraxacum-officinale,,,Naturalizada,Cosmopolita,,
,139,Diosme,Arbusto,,Coleonema album,Rutaceae,Referencia,https://colombia.inaturalist.org/taxa/55226-Coleonema-album/browse_photos,,,Cultivada,Suráfrica,,C5
,140,Dividivi,Árbol,"Dividivi de tierra fría
Guarango, Tara",Tara spinosa,Fabaceae,Referencia,https://colombia.inaturalist.org/taxa/768539-Tara-spinosa,,,Nativa,Colombia a Argentina,,
,141,Duraznillo,Arbusto,,Abatia parviflora,Salicaceae,Referencia,https://colombia.inaturalist.org/taxa/528103-Abatia-parviflora,,,Nativa,Costa Rica y Colombia a Perú,,
,142,Durazno,Árbol,,Prunus persica,Rosaceae,Referencia,https://colombia.inaturalist.org/taxa/78755-Prunus-persica,,,Cultivada,Cosmopolita,,
,143,Elleanthus smithii,Orquídea,,Elleanthus smithii,Orchidaceae,Referencia,https://colombia.inaturalist.org/taxa/706996-Elleanthus-smithii,,,Nativa,Venezuela a Ecuador,,
,144,Encino,Árbol,Alcornoque,Quercus suber,Fagaceae,Referencia,https://colombia.inaturalist.org/taxa/50868-Quercus-suber,,,Cultivada,"Europa, N África",,
